感染症対策は行われているの?	1	4
食事をしていい場所は	1	6
ここからバス停までのルート	1	1
トイレの場所	1	2
ランチを購入できる場所を教えて	1	6
入館受付の場所を教えて	1	1
コロナウイルスの感染が心配です	1	4
×印のある席を使ってはいけないですか?	1	4
館内へはいつ入れますか?	1	5
建物に入れるのは何時まで?	1	5
機会システム工学科の展示の場所を教えて	1	2
マウスシールドでもいいですか	1	4
二階の地図	1	2
どれがS棟?	1	1
二階の案内図が見たい	1	2
模擬授業はどこで受けれるの?	1	2
大学周辺のマップ	1	1
コロナの対策はしてますか?	1	4
お弁当を食べていい場所を教えて	1	6
折尾駅から開場までの行き方は何がありますか	1	3
健康チェックシートは持参する必要がありますか?	1	4
S棟はN棟の隣りにあるの?	1	1
キャンパスマップの表示	1	1
池が見える	1	1
オーキャンの開場時間は何時から何時まで?	1	5
受付時間はいつまで	1	5
午後は何時からキャンパスに入ることができますか?	1	5
どっちがN棟	1	1
バスの時刻表を表示して	1	3
駅からひびきのへのバスの時間	1	3
松岡研究室の場所はどこ	1	2
ビジネスプランニング入門は何時から?	1	0
何を持ってくればいいですか	1	5
食事方法	1	6
受付はどこ	1	1
オープンキャンパスはいつありますか	1	5
何時にバスが出るか	1	3
イベントの開催場所	1	2
どこで昼ごはんを食べたらいい	1	6
西鉄バスの時間が知りたいです	1	3
バス停までの道順	1	1
いくらでバスに乗れますか?	1	3
学研都市の地図	1	1
折尾駅西口に行きたい	1	3
建築デザインの展示はどこでやってますか?	1	2
校内見取り図	1	2
退館時間は何時?	1	5
どこで食事をすれば良いですか	1	6
屋内での飲食はしていいの?	1	6
エネルギー循環化学科の実験は何時から見れる?	1	0
バス停から見える建物は何?	1	1
最終バスは何時?	1	3
どの座席に座ればいいですか	1	4
折尾駅からひびきのまでのバスの発車時間は?	1	3
バス停はどこですか?	1	1
お弁当を食べたい	1	6
校内の地図を見たい	1	2
駐車場はどこから入ることができますか?	1	1
オープンキャンパスの開始時刻はいつですか	1	5
模擬授業の日程は?	1	0
オープンキャンパスの受付開始は何時ですか?	1	5
次の折尾駅行のバスの発車時刻は何時ですか?	1	3
校内地図	1	2
校舎内の地図	1	2
マスクなくした	1	4
屋外でもマスクを着用する必要がありますか?	1	4
何時まで受け付けてますか	1	5
折尾駅にバスで行く方法を教えて	1	3
飲み物を飲みたい	1	6
トイレはどこ?	1	2
いつ講演があるか	1	0
三階の地図を見せて	1	2
オープンキャンパスは何時までやっていますか?	1	5
バス停の場所は?	1	1
人との距離はどれくらいがいいですか	1	4
2階に行きたい	1	2
大学の地図	1	1
S棟に行きたい	1	2
入館の方法	1	5
研究室ツアーの開催日程が知りたい	1	0
健康チェックシートについて知りたい	1	4
オープンキャンパスのイベント日程を知りたい	1	0
明日は何ができるの?	1	0
廊下に出れば飲食をしてもいい?	1	6
お水を購入できる場所はありますか?	1	6
地球温暖化と温室効果の講義は何時から?	1	0
ウイルス対策は行っていますか?	1	4
折尾駅からひびきのキャンパスに行く方法を教えて	1	3
ソーシャルディスタンスは何m?	1	4
実験はいつあるの?	1	0
何番のバスに乗ればいいの?	1	3
飲食に関して	1	6
マスク必須ですか	1	4
のどが渇いた	1	6
折尾駅までのバスの運賃	1	3
ひびきのキャンパスの地図	1	1
体調が悪い	1	4
バスの運賃を知りたい	1	3
バス情報を教えて	1	3
実験の日程は?	1	0
化学実験体験はどの教室で見れますか?	1	2
飲食エリアを教えて	1	6
何時までキャンパス見学ができる?	1	5
なんの説明会がいつあるの?	1	0
受付終了は何時?	1	5
何時まで見学できるの?	1	5
何時に終わる	1	0
2階にトイレはありますか	1	2
×が書いてある椅子を使ってもいいですか	1	4
環境生命工学科の模擬授業はどこでやってますか?	1	2
講演の時間はいつ	1	0
4階はどこですか?	1	2
S棟の隣にある建物は何?	1	1
教室での飲食は大丈夫?	1	6
食事に関して	1	6
迷子になった	1	2
10時から始まるイベントはありますか?	1	0
午後の部の入場受け付け開始は何時ですか	1	5
S棟ははどの建物	1	1
バスで折尾まで帰りたい	1	3
熱がある	1	4
今日は何ができるの?	1	0
どんなイベントがあるの?	1	0
なにか食べ物が買える売店はありますか?	1	6
フェイスシールドでもいいですか	1	4
西鉄バスも使えるの?	1	3
どこで受付をすることができますか?	1	1
入場手続きに必要なものは何ですか?	1	5
どっちがS棟	1	1
寒気がする	1	4
市営バスの運賃	1	3
折尾駅までの行き方を教えて	1	3
感染症対策について	1	4
S120の場所	1	2
レーシングカー展示の場所はどこ?	1	2
N棟の場所	1	1
折尾駅までバスでどれくらい時間がかかりますか?	1	3
何時に帰ったらいいか	1	5
バスに何分乗ればキャンパスに到着しますか	1	3
N棟はどっちの方角	1	1
駅からひびきのまでのルート	1	3
二階のトイレを探しています	1	2
受付時間のいつからいつまで	1	5
入試に関して相談したい	1	0
コロナ対策で気をつけることはある?	1	4
入試相談コーナーはどこで実施していますか	1	2
ひびきの相談室はいつ開いてるの?	1	0
N棟に行きたい	1	2
15時から参加できる模擬授業はありますか	1	0
帰り方を教えて	1	3
感染症対策はどうしてるの	1	4
キャンパスの入り口ってどこ	1	1
3階に行きたい	1	2
どこで食べたらいい?	1	6
学研都市から折尾駅へのバスの発車時刻が知りたいな	1	3
松岡研究室はどこにありますか	1	2
オープンキャンパスの実施時間	1	5
N棟はどこにあるのか知りたい	1	1
お菓子を食べたい	1	6
お腹すいた	1	6
消毒液はありますか?	1	4
講義室での飲食は可能ですか?	1	6
4階に行きたい	1	2
企画の時間を知りたい	1	0
マスクしたくない	1	4
何時から入場できますか?	1	5
校舎からバス停までのルートを知りたい	1	1
感染症対策のために気をつけることはありますか	1	4
展示の時間	1	0
S220の場所	1	2
ここらへんのマップ	1	1
オープンスペースってどこ?	1	2
展示の日程は?	1	0
開場時間	1	5
オープンキャンパスは何時まで?	1	5
N115の場所	1	2
おやつをたべたい	1	6
昼食はどこで食べればいいの?	1	6
菜簿の実験体験の場所が知りたい	1	2
お弁当が食べれる場所を教えて	1	6
どこでランチを食べていいの?	1	6
模擬授業の日程を教えて	1	0
周辺のマップを表示して	1	1
機会システム工学科のデモってどこでやってるの?	1	2
受付終了は何時ですか?	1	5
いつ帰宅したらいいの	1	5
教室に座れない座席があるのはなぜですか	1	4
イベント会場はどこ	1	2
体調が優れないんですが	1	4
各説明会の場所を教えて	1	2
建築デザイン学科の展示はいつまで見れる?	1	0
N棟一階入り口の場所がわかりません	1	1
健康チェックシートは必要?	1	4
タイムスケジュールを知りたい	1	0
一階の地図	1	2
S棟はどこですか	1	1
機械システム工学科の展示は何時まで?	1	0
折尾駅までのバス代はいくらですか	1	3
入館受付の方法を教えて	1	5
食堂は使えないの?	1	6
どこで企画があるの	1	2
N棟ってどこ?	1	1
